id,nombre
70,2
41,4
72,2
92,8
73,1
74,1
76,10
40,4
50,5
44,2
69,1
61,2
47,8
19,7
65,3
89,8
32,6
30,4
25,5
90,8
20,10
32,3
80,10
63,6
98,7
40,3
72,5
57,7
5,10
36,2
41,3
84,10
97,8
35,6
36,9
18,8
39,1
54,4
8,8
66,3
78,6
81,6
60,5
8,3
87,8
83,7
16,9
66,3
96,3
47,7
33,2
42,7
41,7
6,9
31,7
98,8
17,4
14,3
76,6
33,7
91,8
47,7
35,7
37,2
71,7
8,9
52,2
38,10
5,10
19,3
15,3
30,6
9,6
32,8
25,1
30,7
9,3
7,1
74,5
49,6
84,3
49,3
55,7
65,9
94,1
13,10
52,8
13,6
42,3
83,9
99,3
58,2
38,4
99,5
72,2
40,5
10,6
13,5
97,5
39,5
84,1
47,8
66,7
37,1
47,6
66,2
56,1
12,10
50,6
69,3
22,9
31,1
69,6
23,6
24,2
57,7
63,4
74,7
77,6
41,7
32,5
87,8
38,8
25,7
57,1
83,8
50,10
72,4
32,9
99,4
2,4
10,5
98,7
70,9
66,8
82,7
90,2
82,1
40,1
91,5
43,2
54,4
65,7
54,3
84,10
24,7
71,9
22,3
10,1
71,6
67,5
19,2
82,1
17,1
68,10
74,4
73,5
26,5
8,10
72,4
46,5
13,8
3,4
40,5
37,3
14,4
47,6
10,7
14,3
30,5
79,6
8,4
2,4
86,1
20,7
94,7
87,7
5,8
95,6
92,1
78,6
10,8
16,8
8,4
11,4
24,2
69,8
19,8
75,9
84,5
35,8
15,7
65,5
37,1
14,8
98,6
20,9
16,4
29,1
59,4
70,5
0,8
47,1
1,1
58,1
93,3
20,5
59,5
13,4
64,1
39,4
16,3
4,5
38,7
14,5
19,10
20,4
57,8
6,5
12,7
0,10
36,3
96,10
14,4
44,6
76,6
99,9
93,5
83,4
35,10
65,6
28,1
88,6
60,6
92,3
81,2
7,8
73,5
84,10
17,1
78,2
6,8
19,6
96,7
90,9
31,2
59,8
22,6
73,6
86,6
39,6
55,1
98,9
25,2
4,10
18,8
44,6
16,9
55,3
35,7
6,10
7,2
98,1
20,5
49,9
96,2
4,10
8,3
91,8
9,4
78,6
25,3
73,4
8,7
59,9
91,3
31,4
55,8
14,7
94,2
98,9
37,6
8,4
38,5
33,7
82,3
20,4
24,4
80,2
66,2
38,3
94,9
70,5
99,5
27,9
81,5
1,10
24,3
28,4
84,6
14,1
31,8
22,9
71,7
52,10
14,3
60,3
53,2
94,2
44,1
84,3
7,7
60,9
44,2
78,8
72,7
31,9
26,8
76,1
0,4
50,10
12,4
44,1
40,9
50,10
19,7
29,3
89,4
82,1
94,2
47,4
79,2
15,3
77,10
79,6
65,8
75,7
63,7
42,3
56,8
37,10
65,6
56,9
96,5
48,3
18,9
45,10
64,10
65,9
90,5
71,6
26,3
6,3
25,6
31,8
22,3
54,8
15,9
12,8
66,5
75,2
76,7
67,2
49,5
10,4
24,3
12,3
41,6
9,3
17,8
44,9
86,9
55,5
52,6
18,4
48,9
4,8
43,7
70,8
2,1
59,6
9,9
90,8
14,8
9,8
85,3
91,5
94,5
66,7
79,6
77,3
0,4
51,1
7,1
6,9
12,9
34,7
69,9
97,4
88,5
26,5
85,8
82,2
84,6
17,5
